Best V hit	Best D hit	Best J hit
IGHV3-9*00	IGHD6-13*00	IGHJ5*00
IGHV3-9*00	IGHD6-13*00	IGHJ5*00
IGHV3-9*00	IGHD6-13*00	IGHJ5*00
IGHV3-9*00	IGHD6-13*00	IGHJ5*00
IGHV3-9*00	IGHD6-13*00	IGHJ5*00
IGHV3-9*00	IGHD6-13*00	IGHJ5*00
IGHV3-9*00	IGHD6-13*00	IGHJ5*00
IGHV3-9*00	IGHD6-13*00	IGHJ5*00
IGHV3-9*00	IGHD6-13*00	IGHJ5*00
IGHV3-9*00	IGHD6-13*00	IGHJ5*00
IGHV3-9*00	IGHD6-13*00	IGHJ5*00
IGHV3-9*00	IGHD2-2*00	IGHJ5*00
IGHV3-9*00	IGHD2-15*00	IGHJ5*00
IGHV3-9*00	IGHD6-13*00	IGHJ5*00
IGHV3-9*00	IGHD2-15*00	IGHJ5*00
IGHV3-9*00	IGHD6-13*00	IGHJ5*00
IGHV3-9*00	IGHD6-13*00	IGHJ5*00
IGHV3-9*00	IGHD6-13*00	IGHJ5*00
IGHV3-9*00	IGHD6-13*00	IGHJ5*00
IGHV3-9*00	IGHD6-13*00	IGHJ5*00
IGHV3-9*00	IGHD6-13*00	IGHJ5*00
IGHV3-9*00	IGHD6-13*00	IGHJ5*00
IGHV3-9*00	IGHD6-13*00	IGHJ5*00
IGHV3-9*00	IGHD6-13*00	IGHJ5*00
IGHV3-9*00	IGHD6-13*00	IGHJ5*00
IGHV3-9*00	IGHD6-13*00	IGHJ5*00
IGHV3-9*00	IGHD6-13*00	IGHJ5*00
IGHV3-9*00	IGHD6-13*00	IGHJ5*00
IGHV3-9*00	IGHD6-6*00	IGHJ5*00
IGHV3-9*00	IGHD6-6*00	IGHJ5*00
IGHV3-9*00	IGHD1-14*00	IGHJ5*00
IGHV3-9*00	IGHD6-13*00	IGHJ5*00
IGHV3-9*00	IGHD6-25*00	IGHJ5*00
IGHV3-9*00	IGHD6-13*00	IGHJ5*00
IGHV3-9*00	IGHD6-13*00	IGHJ5*00
IGHV3-9*00	IGHD6-13*00	IGHJ5*00
IGHV3-9*00	IGHD6-13*00	IGHJ4*00
IGHV3-9*00	IGHD6-13*00	IGHJ4*00
IGHV3-9*00	IGHD6-13*00	IGHJ4*00
IGHV3-9*00	IGHD6-13*00	IGHJ5*00
IGHV3-9*00	IGHD6-13*00	IGHJ5*00
IGHV3-9*00	IGHD6-13*00	IGHJ5*00
IGHV3-9*00	IGHD6-13*00	IGHJ5*00
IGHV3-9*00	IGHD6-13*00	IGHJ5*00
IGHV3-9*00	IGHD6-13*00	IGHJ5*00
IGHV3-9*00	IGHD6-13*00	IGHJ5*00
IGHV3-9*00	IGHD6-13*00	IGHJ5*00
IGHV3-9*00	IGHD6-13*00	IGHJ5*00
IGHV3-9*00	IGHD6-13*00	IGHJ5*00
IGHV3-9*00	IGHD6-13*00	IGHJ5*00
IGHV3-9*00	IGHD6-13*00	IGHJ5*00
IGHV3-9*00	IGHD6-6*00	IGHJ5*00
IGHV3-9*00	IGHD6-13*00	IGHJ5*00
IGHV3-53*00	IGHD2-8*00	IGHJ5*00
IGHV3-53*00	IGHD3-3*00	IGHJ5*00
IGHV3-53*00	IGHD5-18*00	IGHJ5*00
IGHV3-53*00	IGHD1-26*00	IGHJ5*00
IGHV3-23*00	IGHD6-13*00	IGHJ4*00
IGHV3-23*00	IGHD6-19*00	IGHJ4*00
IGHV3-23*00	IGHD6-13*00	IGHJ4*00
IGHV3-23*00	IGHD6-13*00	IGHJ4*00
IGHV3-23*00	IGHD6-13*00	IGHJ4*00
IGHV3-23*00	IGHD6-13*00	IGHJ4*00
IGHV3-23*00	IGHD6-13*00	IGHJ4*00
IGHV3-23*00	IGHD6-13*00	IGHJ4*00
IGHV3-23*00	IGHD6-13*00	IGHJ4*00
IGHV3-23*00	IGHD6-13*00	IGHJ4*00
IGHV3-23*00	IGHD6-13*00	IGHJ4*00
IGHV3-23*00	IGHD6-13*00	IGHJ4*00
IGHV3-23*00	IGHD6-13*00	IGHJ4*00
IGHV3-23*00	IGHD6-13*00	IGHJ4*00
IGHV3-23*00	IGHD6-13*00	IGHJ4*00
IGHV4-31*00	IGHD3-16*00	IGHJ4*00
IGHV3-23*00	IGHD3-22*00	IGHJ5*00
IGHV3-23*00	IGHD3-22*00	IGHJ5*00
IGHV3-23*00	IGHD3-22*00	IGHJ5*00
IGHV3-23*00	IGHD3-22*00	IGHJ5*00
IGHV3-23*00	IGHD3-22*00	IGHJ5*00
IGHV3-23*00	IGHD3-22*00	IGHJ5*00
IGHV3-23*00	IGHD3-22*00	IGHJ5*00
IGHV3-23*00	IGHD3-22*00	IGHJ5*00
IGHV4-34*00	IGHD2-15*00	IGHJ5*00
IGHV4-34*00	IGHD2-15*00	IGHJ5*00
IGHV4-34*00	IGHD2-15*00	IGHJ5*00
IGHV4-34*00	IGHD2-15*00	IGHJ5*00
IGHV4-34*00	IGHD2-15*00	IGHJ5*00
IGHV4-34*00	IGHD2-15*00	IGHJ5*00
IGHV4-34*00	IGHD2-15*00	IGHJ5*00
IGHV4-34*00	IGHD2-15*00	IGHJ5*00
IGHV4-34*00	IGHD2-15*00	IGHJ4*00
IGHV4-34*00	IGHD2-15*00	IGHJ5*00
IGHV4-34*00	IGHD2-15*00	IGHJ5*00
IGHV4-34*00	IGHD2-15*00	IGHJ5*00
IGHV4-34*00	IGHD2-15*00	IGHJ5*00
IGHV4-34*00	IGHD2-15*00	IGHJ5*00
IGHV4-34*00	IGHD2-15*00	IGHJ5*00
IGHV4-34*00	IGHD2-15*00	IGHJ5*00
IGHV4-34*00	IGHD2-15*00	IGHJ5*00
IGHV4-34*00	IGHD2-15*00	IGHJ5*00
IGHV4-34*00	IGHD2-15*00	IGHJ5*00
IGHV4-34*00	IGHD2-15*00	IGHJ5*00
IGHV3-30*00	IGHD4-23*00	IGHJ4*00
IGHV3-30*00	IGHD3-3*00	IGHJ4*00
IGHV3-22*00	IGHD2-2*00	IGHJ4*00
IGHV3-22*00	IGHD2-2*00	IGHJ4*00
IGHV3-22*00	IGHD2-2*00	IGHJ4*00
IGHV3-30*00	IGHD5-12*00	IGHJ5*00
IGHV3-30*00	IGHD3-9*00	IGHJ5*00
IGHV3-30*00	IGHD6-13*00	IGHJ5*00
IGHV3-30*00	IGHD3-9*00	IGHJ1*00
IGHV3-30*00	IGHD3-9*00	IGHJ5*00
IGHV3-30*00	IGHD3-9*00	IGHJ4*00
IGHV3-30*00	IGHD3-9*00	IGHJ5*00
IGHV3-30*00	IGHD3-16*00	IGHJ5*00
IGHV3-30*00	IGHD3-9*00	IGHJ5*00
IGHV3-30*00	IGHD1-20*00	IGHJ5*00
IGHV3-30*00	IGHD3-3*00	IGHJ5*00
IGHV3-30*00	IGHD3-9*00	IGHJ4*00
IGHV3-30*00	IGHD3-9*00	IGHJ4*00
IGHV3-30*00	IGHD2-15*00	IGHJ3*00
IGHV3-30*00	IGHD4-23*00	IGHJ4*00
IGHV3-30*00	IGHD4-23*00	IGHJ4*00
IGHV3-30*00	IGHD4-23*00	IGHJ4*00
IGHV3-30*00	IGHD4-23*00	IGHJ4*00
IGHV3-30*00	IGHD5-24*00	IGHJ5*00
IGHV3-30*00	IGHD3-16*00	IGHJ5*00
IGHV1-18*00	IGHD6-19*00	IGHJ4*00
IGHV1-18*00	IGHD6-19*00	IGHJ4*00
IGHV1-18*00	IGHD6-19*00	IGHJ4*00
IGHV1-18*00	IGHD6-19*00	IGHJ4*00
IGHV1-18*00	IGHD6-19*00	IGHJ4*00
IGHV1-18*00	IGHD6-19*00	IGHJ4*00
IGHV1-18*00	IGHD6-19*00	IGHJ4*00
IGHV1-18*00	IGHD6-19*00	IGHJ4*00
IGHV1-18*00	IGHD6-19*00	IGHJ4*00
IGHV1-18*00	IGHD6-19*00	IGHJ4*00
IGHV1-18*00	IGHD6-19*00	IGHJ4*00
IGHV1-18*00	IGHD6-19*00	IGHJ4*00
IGHV1-18*00	IGHD6-19*00	IGHJ4*00
IGHV1-18*00	IGHD6-19*00	IGHJ4*00
IGHV3-53*00	IGHD1-26*00	IGHJ3*00
IGHV3-30*00	IGHD2-8*00	IGHJ4*00
IGHV3-30*00	IGHD4-17*00	IGHJ3*00
IGHV3-30*00	IGHD4-17*00	IGHJ3*00
IGHV3-30*00	IGHD2-21*00	IGHJ3*00
IGHV1-3*00	IGHD2-15*00	IGHJ5*00
IGHV1-3*00	IGHD2-21*00	IGHJ5*00
IGHV1-3*00	IGHD2-15*00	IGHJ5*00
IGHV1-3*00	IGHD3-3*00	IGHJ5*00
IGHV3-15*00	IGHD3-10*00	IGHJ4*00
IGHV3-15*00	IGHD3-10*00	IGHJ4*00
IGHV3-15*00	IGHD3-10*00	IGHJ4*00
IGHV3-15*00	IGHD3-10*00	IGHJ4*00
IGHV3-15*00	IGHD3-10*00	IGHJ5*00
IGHV3-15*00	IGHD3-10*00	IGHJ4*00
IGHV3-15*00	IGHD3-10*00	IGHJ4*00
IGHV3-15*00	IGHD3-10*00	IGHJ4*00
IGHV3-15*00	IGHD3-10*00	IGHJ4*00
IGHV3-15*00	IGHD3-10*00	IGHJ4*00
IGHV3-15*00	IGHD3-10*00	IGHJ2P*00
IGHV3-15*00	IGHD3-10*00	IGHJ4*00
IGHV3-15*00	IGHD3-10*00	IGHJ4*00
IGHV3-15*00	IGHD3-10*00	IGHJ4*00
IGHV3-15*00	IGHD3-10*00	IGHJ4*00
IGHV3-15*00	IGHD3-10*00	IGHJ4*00
IGHV3-15*00	IGHD3-10*00	IGHJ4*00
IGHV3-15*00	IGHD3-10*00	IGHJ4*00
IGHV3-15*00	IGHD3-10*00	IGHJ4*00
IGHV3-15*00	IGHD3-10*00	IGHJ4*00
IGHV3-15*00	IGHD3-10*00	IGHJ4*00
IGHV3-15*00	IGHD3-10*00	IGHJ4*00
IGHV3-15*00	IGHD3-10*00	IGHJ4*00
IGHV3-15*00	IGHD3-10*00	IGHJ4*00
IGHV4-31*00	IGHD6-19*00	IGHJ4*00
IGHV4-31*00	IGHD6-19*00	IGHJ4*00
IGHV4-39*00	IGHD6-19*00	IGHJ4*00
IGHV4-39*00	IGHD6-19*00	IGHJ4*00
IGHV4-39*00	IGHD6-19*00	IGHJ4*00
IGHV3-53*00	IGHD3-16*00	IGHJ4*00
IGHV3-53*00	IGHD3-16*00	IGHJ5*00
IGHV3-53*00	IGHD3-16*00	IGHJ4*00
IGHV3-53*00	IGHD3-16*00	IGHJ2P*00
IGHV3-53*00	IGHD3-16*00	IGHJ5*00
IGHV1-69*00	IGHD4-23*00	IGHJ4*00
IGHV1-69*00	IGHD2-15*00	IGHJ4*00
IGHV1-69*00	IGHD2-8*00	IGHJ4*00
IGHV1-69*00	IGHD4-23*00	IGHJ4*00
IGHV1-69*00	IGHD5-24*00	IGHJ4*00
IGHV4-31*00	IGHD4-23*00	IGHJ4*00
IGHV4-31*00	IGHD4-23*00	IGHJ4*00
IGHV4-31*00	IGHD4-23*00	IGHJ4*00
IGHV3-30*00	IGHD3-16*00	IGHJ4*00
IGHV3-30*00	IGHD1-26*00	IGHJ4*00
IGHV3-30*00	IGHD3-16*00	IGHJ4*00
IGHV3-30*00	IGHD3-16*00	IGHJ4*00
IGHV3-30*00	IGHD3-16*00	IGHJ4*00
IGHV3-30*00	IGHD3-16*00	IGHJ4*00
IGHV3-30*00	IGHD3-16*00	IGHJ1*00
IGHV3-30*00	IGHD3-16*00	IGHJ4*00
IGHV3-30*00	IGHD3-16*00	IGHJ4*00
IGHV3-30*00	IGHD3-16*00	IGHJ4*00
IGHV3-30*00	IGHD3-16*00	IGHJ3*00
IGHV3-30*00	IGHD3-16*00	IGHJ4*00
IGHV3-30*00	IGHD3-16*00	IGHJ4*00
IGHV3-30*00	IGHD3-16*00	IGHJ4*00
IGHV3-30*00	IGHD3-16*00	IGHJ4*00
IGHV3-30*00	IGHD3-16*00	IGHJ4*00
IGHV3-7*00	IGHD3-16*00	IGHJ3*00
IGHV3-7*00	IGHD3-10*00	IGHJ3*00
IGHV3-7*00	IGHD3-16*00	IGHJ3*00
IGHV3-7*00	IGHD3-16*00	IGHJ3*00
IGHV3-7*00	IGHD3-16*00	IGHJ3*00
IGHV1-18*00	IGHD3-10*00	IGHJ4*00
IGHV1-18*00	IGHD3-10*00	IGHJ4*00
IGHV1-18*00	IGHD3-10*00	IGHJ4*00
IGHV1-18*00	IGHD3-10*00	IGHJ4*00
IGHV1-18*00	IGHD3-10*00	IGHJ4*00
IGHV1-18*00	IGHD3-10*00	IGHJ4*00
IGHV1-18*00	IGHD3-10*00	IGHJ4*00
IGHV1-18*00	IGHD3-10*00	IGHJ4*00
IGHV1-18*00	IGHD3-10*00	IGHJ4*00
IGHV1-18*00	IGHD3-10*00	IGHJ4*00
IGHV1-18*00	IGHD3-10*00	IGHJ4*00
IGHV1-18*00	IGHD3-10*00	IGHJ4*00
IGHV1-18*00	IGHD3-10*00	IGHJ4*00
IGHV1-18*00	IGHD3-10*00	IGHJ4*00
IGHV1-18*00	IGHD3-10*00	IGHJ4*00
IGHV1-18*00	IGHD3-10*00	IGHJ4*00
IGHV1-18*00	IGHD4-17*00	IGHJ4*00
IGHV3-23*00	IGHD3-3*00	IGHJ4*00
IGHV3-23*00	IGHD3-3*00	IGHJ4*00
IGHV3-23*00	IGHD3-3*00	IGHJ4*00
IGHV3-23*00	IGHD3-3*00	IGHJ4*00
IGHV4-55*00	IGHD2-15*00	IGHJ3*00
IGHV4-55*00	IGHD2-15*00	IGHJ3*00
IGHV4-55*00	IGHD2-15*00	IGHJ3*00
IGHV4-55*00	IGHD2-15*00	IGHJ3*00
IGHV4-55*00	IGHD2-15*00	IGHJ3*00
IGHV4-55*00	IGHD2-15*00	IGHJ3*00
IGHV4-55*00	IGHD2-15*00	IGHJ3*00
IGHV4-55*00	IGHD2-15*00	IGHJ3*00
IGHV4-55*00	IGHD2-15*00	IGHJ3*00
IGHV4-55*00	IGHD2-15*00	IGHJ3*00
IGHV3-7*00	IGHD3-3*00	IGHJ6*00
IGHV3-7*00	IGHD3-3*00	IGHJ6*00
IGHV3-7*00	IGHD3-3*00	IGHJ6*00
IGHV3-7*00	IGHD3-3*00	IGHJ6*00
IGHV3-7*00	IGHD3-3*00	IGHJ6*00
IGHV3-7*00	IGHD3-3*00	IGHJ6*00
IGHV3-7*00	IGHD3-3*00	IGHJ6*00
IGHV3-7*00	IGHD3-3*00	IGHJ2P*00
IGHV3-7*00	IGHD3-3*00	IGHJ6*00
IGHV3-7*00	IGHD3-3*00	IGHJ6*00
IGHV3-7*00	IGHD3-3*00	IGHJ6*00
IGHV3-7*00	IGHD3-3*00	IGHJ6*00
IGHV3-7*00	IGHD3-3*00	IGHJ6*00
IGHV3-7*00	IGHD3-3*00	IGHJ6*00
IGHV3-7*00	IGHD3-3*00	IGHJ6*00
IGHV3-7*00	IGHD3-10*00	IGHJ6*00
IGHV3-7*00	IGHD3-10*00	IGHJ6*00
IGHV3-7*00	IGHD3-3*00	IGHJ6*00
IGHV3-7*00	IGHD3-3*00	IGHJ6*00
IGHV3-7*00	IGHD3-3*00	IGHJ6*00
IGHV3-7*00	IGHD3-3*00	IGHJ6*00
IGHV3-7*00	IGHD3-3*00	IGHJ6*00
IGHV3-7*00	IGHD3-3*00	IGHJ6*00
IGHV3-7*00	IGHD3-3*00	IGHJ6*00
IGHV3-7*00	IGHD2-21*00	IGHJ6*00
IGHV3-7*00	IGHD3-3*00	IGHJ6*00
IGHV3-7*00	IGHD3-3*00	IGHJ6*00
IGHV3-7*00	IGHD3-3*00	IGHJ6*00
IGHV3-7*00	IGHD3-3*00	IGHJ6*00
IGHV3-7*00	IGHD3-3*00	IGHJ6*00
IGHV3-23*00	IGHD3-10*00	IGHJ6*00
IGHV3-23*00	IGHD3-10*00	IGHJ6*00
IGHV3-23*00	IGHD3-10*00	IGHJ6*00
IGHV3-23*00	IGHD3-10*00	IGHJ3*00
IGHV3-23*00	IGHD3-10*00	IGHJ6*00
IGHV3-23*00	IGHD3-10*00	IGHJ6*00
IGHV3-23*00	IGHD3-10*00	IGHJ6*00
IGHV3-23*00	IGHD3-10*00	IGHJ6*00
IGHV3-23*00	IGHD3-10*00	IGHJ6*00
IGHV3-23*00	IGHD3-10*00	IGHJ6*00
IGHV3-23*00	IGHD3-10*00	IGHJ6*00
IGHV3-23*00	IGHD3-10*00	IGHJ6*00
IGHV3-23*00	IGHD3-10*00	IGHJ6*00
IGHV3-23*00	IGHD3-10*00	IGHJ6*00
IGHV3-66*00	IGHD3-10*00	IGHJ4*00
IGHV3-66*00	IGHD3-10*00	IGHJ4*00
IGHV3-66*00	IGHD3-10*00	IGHJ4*00
IGHV3-66*00	IGHD3-10*00	IGHJ4*00
IGHV3-66*00	IGHD3-10*00	IGHJ4*00
IGHV3-66*00	IGHD3-10*00	IGHJ4*00
IGHV3-48*00	IGHD3-16*00	IGHJ6*00
IGHV3-48*00	IGHD5-24*00	IGHJ6*00
IGHV3-48*00	IGHD3-16*00	IGHJ6*00
IGHV3-48*00	IGHD3-3*00	IGHJ6*00
IGHV3-48*00	IGHD3-10*00	IGHJ6*00
IGHV3-48*00	IGHD3-16*00	IGHJ6*00
IGHV3-48*00	IGHD3-16*00	IGHJ6*00
IGHV3-48*00	IGHD3-16*00	IGHJ6*00
IGHV3-48*00	IGHD2-15*00	IGHJ6*00
IGHV3-48*00	IGHD3-16*00	IGHJ6*00
IGHV3-48*00	IGHD3-10*00	IGHJ6*00
IGHV3-48*00	IGHD3-10*00	IGHJ6*00
IGHV3-48*00	IGHD3-3*00	IGHJ6*00
IGHV3-48*00	IGHD3-3*00	IGHJ6*00
IGHV3-48*00	IGHD4-23*00	IGHJ6*00
IGHV3-48*00	IGHD2-15*00	IGHJ6*00
IGHV3-48*00	IGHD4-23*00	IGHJ6*00
IGHV3-48*00	IGHD3-3*00	IGHJ6*00
IGHV3-48*00	IGHD3-10*00	IGHJ6*00
IGHV3-48*00	IGHD6-25*00	IGHJ5*00
IGHV3-48*00	IGHD3-10*00	IGHJ3*00
IGHV3-48*00	IGHD3-16*00	IGHJ3*00
IGHV3-48*00	IGHD1-26*00	IGHJ6*00
IGHV3-48*00	IGHD4-23*00	IGHJ5*00
IGHV3-23*00	IGHD3-9*00	IGHJ4*00
IGHV3-23*00	IGHD3-9*00	IGHJ4*00
IGHV3-23*00	IGHD3-9*00	IGHJ4*00
IGHV3-23*00	IGHD3-9*00	IGHJ4*00
IGHV3-23*00	IGHD3-9*00	IGHJ4*00
IGHV3-23*00	IGHD3-9*00	IGHJ4*00
IGHV3-23*00	IGHD3-9*00	IGHJ4*00
IGHV3-23*00	IGHD3-9*00	IGHJ4*00
IGHV3-15*00	IGHD6-13*00	IGHJ6*00
IGHV3-15*00	IGHD5-24*00	IGHJ6*00
IGHV3-15*00	IGHD5-24*00	IGHJ6*00
IGHV3-15*00	IGHD1-1*00	IGHJ6*00
IGHV4-31*00		IGHJ6*00
IGHV4-31*00		IGHJ6*00
IGHV4-31*00		IGHJ6*00
IGHV4-31*00	IGHD2-2*00	IGHJ6*00
IGHV4-31*00	IGHD1-1*00	IGHJ6*00
IGHV4-31*00	IGHD1-26*00	IGHJ6*00
IGHV4-31*00	IGHD1-26*00	IGHJ6*00
IGHV4-31*00		IGHJ6*00
IGHV4-31*00		IGHJ6*00
IGHV3-23*00	IGHD2-2*00	IGHJ4*00
IGHV3-23*00	IGHD2-2*00	IGHJ4*00
IGHV3-23*00	IGHD1-1*00	IGHJ4*00
IGHV3-23*00	IGHD2-8*00	IGHJ4*00
IGHV3-23*00	IGHD3-10*00	IGHJ4*00
IGHV3-23*00	IGHD3-10*00	IGHJ4*00
IGHV3-23*00	IGHD3-10*00	IGHJ4*00
IGHV3-23*00	IGHD3-10*00	IGHJ4*00
IGHV3-23*00	IGHD3-10*00	IGHJ2P*00
IGHV3-23*00	IGHD3-10*00	IGHJ4*00
IGHV3-23*00	IGHD3-10*00	IGHJ4*00
IGHV3-23*00	IGHD3-10*00	IGHJ4*00
IGHV3-23*00	IGHD3-10*00	IGHJ4*00
IGHV3-23*00	IGHD3-10*00	IGHJ4*00
IGHV3-23*00	IGHD3-10*00	IGHJ4*00
IGHV3-23*00	IGHD3-10*00	IGHJ4*00
IGHV3-23*00	IGHD3-10*00	IGHJ4*00
IGHV3-23*00	IGHD3-10*00	IGHJ4*00
IGHV3-23*00	IGHD3-10*00	IGHJ4*00
IGHV3-23*00	IGHD3-10*00	IGHJ4*00
IGHV3-23*00	IGHD3-10*00	IGHJ4*00
IGHV3-23*00	IGHD3-10*00	IGHJ4*00
IGHV3-23*00	IGHD3-10*00	IGHJ4*00
IGHV3-23*00	IGHD3-10*00	IGHJ4*00
IGHV3-23*00	IGHD3-10*00	IGHJ4*00
IGHV3-23*00	IGHD3-10*00	IGHJ4*00
IGHV3-23*00	IGHD3-10*00	IGHJ4*00
IGHV3-23*00	IGHD3-10*00	IGHJ4*00
IGHV3-23*00	IGHD3-10*00	IGHJ4*00
IGHV3-23*00	IGHD3-10*00	IGHJ4*00
IGHV3-23*00	IGHD3-10*00	IGHJ6*00
IGHV3-23*00	IGHD3-10*00	IGHJ4*00
IGHV3-23*00	IGHD3-10*00	IGHJ4*00
IGHV3-23*00	IGHD3-10*00	IGHJ4*00
IGHV3-23*00	IGHD3-10*00	IGHJ4*00
IGHV3-23*00	IGHD3-10*00	IGHJ4*00
IGHV1-2*00	IGHD3-22*00	IGHJ2P*00
IGHV1-2*00	IGHD3-22*00	IGHJ2P*00
IGHV1-2*00	IGHD4-23*00	IGHJ2P*00
IGHV1-2*00	IGHD3-22*00	IGHJ2P*00
IGHV1-2*00	IGHD3-22*00	IGHJ2P*00
IGHV1-2*00	IGHD3-22*00	IGHJ2P*00
IGHV3-53*00	IGHD3-22*00	IGHJ6*00
IGHV3-53*00	IGHD3-22*00	IGHJ6*00
IGHV3-53*00	IGHD6-19*00	IGHJ4*00
IGHV3-53*00	IGHD4-11*00	IGHJ6*00
IGHV3-53*00	IGHD6-19*00	IGHJ6*00
IGHV3-53*00	IGHD3-22*00	IGHJ6*00
IGHV3-53*00	IGHD6-19*00	IGHJ6*00
IGHV3-53*00	IGHD3-22*00	IGHJ6*00
IGHV3-53*00	IGHD3-22*00	IGHJ6*00
IGHV3-53*00	IGHD3-22*00	IGHJ6*00
IGHV3-53*00	IGHD3-16*00	IGHJ6*00
